Accession_no	Family	Genus	Species	Clone_or_strain_name	Clone_and_organism
LC599498	unclassified	Pavlomulina	Pavlomulina_ranunculiformis	NIES-3900	LC599498|Pavlomulina_ranunculiformis(NIES-3900)
HG970975	Haptophyta	Haptophyta	Haptophyta	CG5	HG970975|Haptophyta(CG5)
JF714242	Pavlovaceae	Diacronema	Diacronema_ennorea	AC253	JF714242|Diacronema_ennorea(AC253)
HQ877904	Pavlovaceae	Diacronema	Diacronema_lutheri	KMMCC_H3	HQ877904|Diacronema_lutheri(KMMCC_H3)
HQ877905	Pavlovaceae	Diacronema	Diacronema_lutheri	KMMCC_H4	HQ877905|Diacronema_lutheri(KMMCC_H4)
HQ877906	Pavlovaceae	Diacronema	Diacronema_lutheri	KMMCC_H6	HQ877906|Diacronema_lutheri(KMMCC_H6)
HQ877907	Pavlovaceae	Diacronema	Diacronema_lutheri	KMMCC_H7	HQ877907|Diacronema_lutheri(KMMCC_H7)
HQ877908	Pavlovaceae	Diacronema	Diacronema_lutheri	KMMCC_H8	HQ877908|Diacronema_lutheri(KMMCC_H8)
HQ877909	Pavlovaceae	Diacronema	Diacronema_lutheri	KMMCC_H9	HQ877909|Diacronema_lutheri(KMMCC_H9)
AJ515247	Pavlovaceae	Diacronema	Diacronema_lutheri	HAP44__PLY75	AJ515247|Diacronema_lutheri(HAP44__PLY75)
EU247835	Pavlovaceae	Diacronema	Diacronema_lutheri	CCMP2436	EU247835|Diacronema_lutheri(CCMP2436)
JF714238	Pavlovaceae	Diacronema	Diacronema_lutheri	AC538	JF714238|Diacronema_lutheri(AC538)
AF102369	Pavlovaceae	Diacronema	Diacronema_lutheri	CS_182	AF102369|Diacronema_lutheri(CS_182)
JF489961	Pavlovaceae	Diacronema	Diacronema_lutheri	PlutheriIII	JF489961|Diacronema_lutheri(PlutheriIII)
JF714236	Pavlovaceae	Diacronema	Diacronema_lutheri	AC44	JF714236|Diacronema_lutheri(AC44)
JF714237	Pavlovaceae	Diacronema	Diacronema_lutheri	AC248	JF714237|Diacronema_lutheri(AC248)
DQ207406	Pavlovaceae	Diacronema	Diacronema_noctivaga	AC_88	DQ207406|Diacronema_noctivaga(AC_88)
JF714222	Pavlovaceae	Diacronema	Diacronema_noctivaga	SAG_5_83	JF714222|Diacronema_noctivaga(SAG_5_83)
JF714243	Pavlovaceae	Diacronema	Diacronema_noctivaga	ACOI449	JF714243|Diacronema_noctivaga(ACOI449)
HQ877916	Pavlovaceae	Diacronema	Diacronema_sp	KMMCC_H16_(CCMP:620)	HQ877916|Diacronema_sp(KMMCC_H16_(CCMP:620))
HQ877919	Pavlovaceae	Diacronema	Diacronema_sp	KMMCC_H21	HQ877919|Diacronema_sp(KMMCC_H21)
JF714239	Pavlovaceae	Diacronema	Diacronema_sp	AC247	JF714239|Diacronema_sp(AC247)
JF714240	Pavlovaceae	Diacronema	Diacronema_sp	AC54	JF714240|Diacronema_sp(AC54)
AJ515248	Pavlovaceae	Diacronema	Diacronema_virescens	HAP16	AJ515248|Diacronema_virescens(HAP16)
JF714235	Pavlovaceae	Diacronema	Diacronema_virescens	AC16	JF714235|Diacronema_virescens(AC16)
HQ877913	Pavlovaceae	Diacronema	Diacronema_viridis	KMMCC_H13	HQ877913|Diacronema_viridis(KMMCC_H13)
DQ075201	Pavlovaceae	Diacronema	Diacronema_viridis		DQ075201|Diacronema_viridis()
AJ515246	Pavlovaceae	Diacronema	Diacronema_vlkianum	HAP67	AJ515246|Diacronema_vlkianum(HAP67)
HF678450	Pavlovaceae	Diacronema	Diacronema_vlkianum	VLP	HF678450|Diacronema_vlkianum(VLP)
JF714241	Pavlovaceae	Diacronema	Diacronema_vlkianum	AC67	JF714241|Diacronema_vlkianum(AC67)
AF106056	Pavlovaceae	Diacronema	Diacronema_vlkianum	CCMP_504	AF106056|Diacronema_vlkianum(CCMP_504)
AB183595	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_cf_gayraliae	MBIC10442	AB183595|Exanthemachrysis_cf_gayraliae(MBIC10442)
AF106049	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_cf_gayraliae	J013	AF106049|Exanthemachrysis_cf_gayraliae(J013)
AJ515250	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	HAP15	AJ515250|Exanthemachrysis_gayraliae(HAP15)
AF106050	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	B18X	AF106050|Exanthemachrysis_gayraliae(B18X)
AF106048	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	Pav_8	AF106048|Exanthemachrysis_gayraliae(Pav_8)
AF102372	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	B20W	AF102372|Exanthemachrysis_gayraliae(B20W)
AF106060	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	YP15	AF106060|Exanthemachrysis_gayraliae(YP15)
DQ531625	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	AC15	DQ531625|Exanthemachrysis_gayraliae(AC15)
JF714223	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	AC252	JF714223|Exanthemachrysis_gayraliae(AC252)
JF714227	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_sp	AC35	JF714227|Exanthemachrysis_sp(AC35)
JF714228	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_sp	AC245	JF714228|Exanthemachrysis_sp(AC245)
JF714224	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_sp	AC37	JF714224|Exanthemachrysis_sp(AC37)
JF714226	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_sp	AC249	JF714226|Exanthemachrysis_sp(AC249)
JF714225	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_sp	AC246	JF714225|Exanthemachrysis_sp(AC246)
JF714231	Pavlovaceae	Pavlova	Pavlova_granifera	AC539	JF714231|Pavlova_granifera(AC539)
HQ877912	Pavlovaceae	Pavlova	Pavlova_gyrans	KMMCC_H12_(CCMP:607)	HQ877912|Pavlova_gyrans(KMMCC_H12_(CCMP:607))
HQ877917	Pavlovaceae	Pavlova	Pavlova_gyrans	KMMCC_H17_(CCMP:1279)	HQ877917|Pavlova_gyrans(KMMCC_H17_(CCMP:1279))
KF925344	Pavlovaceae	Pavlova	Pavlova_gyrans	NCMA:CCMP608	KF925344|Pavlova_gyrans(NCMA:CCMP608)
U40922	Pavlovaceae	Pavlova	Pavlova_gyrans	CCMP_607	U40922|Pavlova_gyrans(CCMP_607)
AF106053	Pavlovaceae	Pavlova	Pavlova_gyrans	Pav_2	AF106053|Pavlova_gyrans(Pav_2)
AF106054	Pavlovaceae	Pavlova	Pavlova_gyrans	ISR118_09	AF106054|Pavlova_gyrans(ISR118_09)
JF489960	Pavlovaceae	Pavlova	Pavlova_gyrans	PlutheriII	JF489960|Pavlova_gyrans(PlutheriII)
AF106055	Pavlovaceae	Pavlova	Pavlova_gyrans	ISR80_3	AF106055|Pavlova_gyrans(ISR80_3)
AF102371	Pavlovaceae	Pavlova	Pavlova_gyrans	Pav_3	AF102371|Pavlova_gyrans(Pav_3)
AF106051	Pavlovaceae	Pavlova	Pavlova_gyrans	Pav_1	AF106051|Pavlova_gyrans(Pav_1)
JF714246	Pavlovaceae	Pavlova	Pavlova_gyrans	CCAP940_1b	JF714246|Pavlova_gyrans(CCAP940_1b)
JF714249	Pavlovaceae	Pavlova	Pavlova_gyrans	AC28	JF714249|Pavlova_gyrans(AC28)
HQ877914	Pavlovaceae	Pavlova	Pavlova_pinguis	KMMCC_H14_(CCMP:609)	HQ877914|Pavlova_pinguis(KMMCC_H14_(CCMP:609))
AB293551	Pavlovaceae	Pavlova	Pavlova_pinguis	MMJapan	AB293551|Pavlova_pinguis(MMJapan)
AB183600	Pavlovaceae	Pavlova	Pavlova_pinguis	MBIC10458	AB183600|Pavlova_pinguis(MBIC10458)
AF106052	Pavlovaceae	Pavlova	Pavlova_pinguis	Pav_4	AF106052|Pavlova_pinguis(Pav_4)
AF102370	Pavlovaceae	Pavlova	Pavlova_pinguis	CCMP_1416	AF102370|Pavlova_pinguis(CCMP_1416)
AF102373	Pavlovaceae	Pavlova	Pavlova_pinguis	SA19_04	AF102373|Pavlova_pinguis(SA19_04)
AF106058	Pavlovaceae	Pavlova	Pavlova_pinguis	IIY089	AF106058|Pavlova_pinguis(IIY089)
AF106057	Pavlovaceae	Pavlova	Pavlova_pinguis	KD6B	AF106057|Pavlova_pinguis(KD6B)
AF106047	Pavlovaceae	Pavlova	Pavlova_pinguis	Pav_6	AF106047|Pavlova_pinguis(Pav_6)
JF714247	Pavlovaceae	Pavlova	Pavlova_pinguis	CCAP940_2	JF714247|Pavlova_pinguis(CCAP940_2)
JF714248	Pavlovaceae	Pavlova	Pavlova_pinguis	CCAP940_3	JF714248|Pavlova_pinguis(CCAP940_3)
DQ075199	Pavlovaceae	Pavlova	Pavlova_sp	J1	DQ075199|Pavlova_sp(J1)
HQ877915	Pavlovaceae	Pavlova	Pavlova_sp	KMMCC_H15_(CCMP:1390)	HQ877915|Pavlova_sp(KMMCC_H15_(CCMP:1390))
AJ515249	Pavlovaceae	Pavlova	Pavlova_sp	HAP33	AJ515249|Pavlova_sp(HAP33)
AB183627	Pavlovaceae	Pavlova	Pavlova_sp	MBIC10665	AB183627|Pavlova_sp(MBIC10665)
AB183598	Pavlovaceae	Pavlova	Pavlova_sp	MBIC10455	AB183598|Pavlova_sp(MBIC10455)
JF714233	Pavlovaceae	Pavlova	Pavlova_sp	AC19	JF714233|Pavlova_sp(AC19)
AB183588	Pavlovaceae	Pavlova	Pavlova_sp	MBIC10094	AB183588|Pavlova_sp(MBIC10094)
AB183623	Pavlovaceae	Pavlova	Pavlova_sp	MBIC10635	AB183623|Pavlova_sp(MBIC10635)
AB183624	Pavlovaceae	Pavlova	Pavlova_sp	MBIC10640	AB183624|Pavlova_sp(MBIC10640)
AB183625	Pavlovaceae	Pavlova	Pavlova_sp	MBIC10652	AB183625|Pavlova_sp(MBIC10652)
AJ243369	Pavlovaceae	Pavlova	Pavlova_sp	CCMP1416	AJ243369|Pavlova_sp(CCMP1416)
U40925	Pavlovaceae	Pavlova	Pavlova_sp	CCMP_1416	U40925|Pavlova_sp(CCMP_1416)
JF714230	Pavlovaceae	Pavlova	Pavlova_sp	AC251	JF714230|Pavlova_sp(AC251)
JF714229	Pavlovaceae	Pavlova	Pavlova_sp	AC33	JF714229|Pavlova_sp(AC33)
JF714234	Pavlovaceae	Pavlova	Pavlova_sp	AC248	JF714234|Pavlova_sp(AC248)
JF714232	Pavlovaceae	Pavlova	Pavlova_sp	AC250	JF714232|Pavlova_sp(AC250)
JF714244	Pavlovaceae	Rebecca	Rebecca_salina	PLY465	JF714244|Rebecca_salina(PLY465)
AF102987	Pavlovaceae	Rebecca	Rebecca_salina	19R	AF102987|Rebecca_salina(19R)
AF106059	Pavlovaceae	Rebecca	Rebecca_salina	93Y	AF106059|Rebecca_salina(93Y)
L34669	Pavlovaceae	Rebecca	Rebecca_salina	PLY_486	L34669|Rebecca_salina(PLY_486)
JF714245	Pavlovaceae	Rebecca	Rebecca_sp	AC537	JF714245|Rebecca_sp(AC537)
AB983344	Calcihaptophycidae	Gladiolithus 	Gladiolithus_sp	isolate_VFsc24	AB983344|Gladiolithus_sp(isolate_VFsc24)
AB983345	Calcihaptophycidae	Gladiolithus 	Gladiolithus_sp	isolate_VFsc26	AB983345|Gladiolithus_sp(isolate_VFsc26)
AB158370	Chrysoculteraceae	Chrysoculter	Chrysoculter_rhomboideus	Nakayama	AB158370|Chrysoculter_rhomboideus(Nakayama)
AB636316	Watznaueriaceae	Tergestiella	Tergestiella_adriatica	isolate_T5	AB636316|Tergestiella_adriatica(isolate_T5)
AB636317	Watznaueriaceae	Tergestiella	Tergestiella_adriatica	isolate_T6	AB636317|Tergestiella_adriatica(isolate_T6)
AM490985	Rhabdosphaeraceae	Algirosphaera	Algirosphaera_robusta	ALGO_Am_24	AM490985|Algirosphaera_robusta(ALGO_Am_24)
KF422619	Calcidiscaceae	Calcidiscus	Calcidiscus_leptoporus	RCC:1130	KF422619|Calcidiscus_leptoporus(RCC:1130)
AJ544116	Calcidiscaceae	Calcidiscus	Calcidiscus_leptoporus	AS31	AJ544116|Calcidiscus_leptoporus(AS31)
AJ544115	Calcidiscaceae	Calcidiscus	Calcidiscus_quadriperforatus	ASM35	AJ544115|Calcidiscus_quadriperforatus(ASM35)
AM491026	Calcidiscaceae	Oolithus	Oolithotus_fragilis	ALGO_AS641	AM491026|Oolithotus_fragilis(ALGO_AS641)
AM490993	Calcidiscaceae	Umbilicosphaera	Umbilicosphaera_hulburtiana	ALGO_NS3A	AM490993|Umbilicosphaera_hulburtiana(ALGO_NS3A)
AJ544118	Calcidiscaceae	Umbilicosphaera	Umbilicosphaera_sibogae	ETH4728	AJ544118|Umbilicosphaera_sibogae(ETH4728)
AJ544119	Calcidiscaceae	Umbilicosphaera	Umbilicosphaera_sibogae_var_foliosa	ESP6M1	AJ544119|Umbilicosphaera_sibogae_var_foliosa(ESP6M1)
AM491024	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_radiata	ALGO_P80_5	AM491024|Calyptrosphaera_radiata(ALGO_P80_5)
AM490992	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_sp	ALGO_calyp1	AM490992|Calyptrosphaera_sp(ALGO_calyp1)
AM490988	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_sp	ALGO_Calyp2	AM490988|Calyptrosphaera_sp(ALGO_Calyp2)
AB183608	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_sp	MBIC10517	AB183608|Calyptrosphaera_sp(MBIC10517)
AM490990	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_sphaeroidea	TTEX_1940	AM490990|Calyptrosphaera_sphaeroidea(TTEX_1940)
AM490991	Calyptrosphaeraceae	Helladosphaera	Helladosphaera_sp	ALGO_Niesh	AM490991|Helladosphaera_sp(ALGO_Niesh)
AB183607	Calyptrosphaeraceae	Helladosphaera	Helladosphaera_sp	MBIC10514	AB183607|Helladosphaera_sp(MBIC10514)
HQ877918	Chrysotilaceae	Chrysotila	Chrysotila_carterae	KMMCC_H19	HQ877918|Chrysotila_carterae(KMMCC_H19)
AJ544120	Chrysotilaceae	Chrysotila	Chrysotila_carterae	HAP1	AJ544120|Chrysotila_carterae(HAP1)
AJ246263	Chrysotilaceae	Chrysotila	Chrysotila_carterae	von_Stosch	AJ246263|Chrysotila_carterae(von_Stosch)
AJ544121	Chrysotilaceae	Chrysotila	Chrysotila_dentata	HAP6	AJ544121|Chrysotila_dentata(HAP6)
KJ756811	Chrysotilaceae	Chrysotila	Chrysotila_dentata	CCAP_944_2	KJ756811|Chrysotila_dentata(CCAP_944_2)
AM936924	Chrysotilaceae	Chrysotila	Chrysotila_elongata	HAP79	AM936924|Chrysotila_elongata(HAP79)
AJ246264	Chrysotilaceae	Chrysotila	Chrysotila_elongata	CCMP_874	AJ246264|Chrysotila_elongata(CCMP_874)
AM490972	Chrysotilaceae	Chrysotila	Chrysotila_gayraliae	ALGO_HAP10	AM490972|Chrysotila_gayraliae(ALGO_HAP10)
AM490977	Chrysotilaceae	Chrysotila	Chrysotila_placolithoides	ALGO_HAP59bis	AM490977|Chrysotila_placolithoides(ALGO_HAP59bis)
AM490973	Chrysotilaceae	Chrysotila	Chrysotila_pseudoroscoffensis	ALGO_HAP48	AM490973|Chrysotila_pseudoroscoffensis(ALGO_HAP48)
AM490974	Chrysotilaceae	Chrysotila	Chrysotila_roscoffensis	ALGO_HAP32	AM490974|Chrysotila_roscoffensis(ALGO_HAP32)
JX195103	Chrysotilaceae	Chrysotila	Chrysotila_scherffelii	ALGOBANK:93	JX195103|Chrysotila_scherffelii(ALGOBANK:93)
AM490978	Chrysotilaceae	Chrysotila	Chrysotila_scherffelii	ALGO_HAP11	AM490978|Chrysotila_scherffelii(ALGO_HAP11)
EF208116	Chrysotilaceae	Chrysotila	Chrysotila_sp	NMBjih026	EF208116|Chrysotila_sp(NMBjih026)
AM490975	Chrysotilaceae	Chrysotila	Chrysotila_sp	ALGO_Langue_du_chat	AM490975|Chrysotila_sp(ALGO_Langue_du_chat)
AB183596	Chrysotilaceae	Chrysotila	Chrysotila_sp	MBIC10443	AB183596|Chrysotila_sp(MBIC10443)
AB183616	Chrysotilaceae	Chrysotila	Chrysotila_sp	MBIC10549	AB183616|Chrysotila_sp(MBIC10549)
AJ246265	Chrysotilaceae	Chrysotila	Chrysotila_sp	CCMP_875	AJ246265|Chrysotila_sp(CCMP_875)
AJ246275	Chrysotilaceae	Chrysotilaceae	Chrysotilaceae_sp	CCMP_300	AJ246275|Chrysotilaceae_sp(CCMP_300)
AJ544117	Coccolithaceae	Coccolithus	Coccolithus_braarudii	IBV73	AJ544117|Coccolithus_braarudii(IBV73)
AJ246261	Coccolithaceae	Coccolithus	Coccolithus_pelagicus	PLY_182g	AJ246261|Coccolithus_pelagicus(PLY_182g)
AB058348	Coccolithaceae	Cruciplacolithus	Cruciplacolithus_neohelis	MBIC10467	AB058348|Cruciplacolithus_neohelis(MBIC10467)
AJ246262	Coccolithaceae	Cruciplacolithus	Cruciplacolithus_neohelis	ccmp298	AJ246262|Cruciplacolithus_neohelis(ccmp298)
AM490989	Coccolithales	Holococcolithophorid	Holococcolithophorid	ALGO_holo	AM490989|Holococcolithophorid(ALGO_holo)
AM490982	Hymenomonadaceae	Hymenomonas	Hymenomonas_coronata	ALGO_HAP58_bis	AM490982|Hymenomonas_coronata(ALGO_HAP58_bis)
AM490981	Hymenomonadaceae	Hymenomonas	Hymenomonas_globosa	ALGO_HAP30	AM490981|Hymenomonas_globosa(ALGO_HAP30)
AB183617	Hymenomonadaceae	Hymenomonas	Hymenomonas_sp	MBIC10557	AB183617|Hymenomonas_sp(MBIC10557)
AM490979	Hymenomonadaceae	Jomonlithus	Jomonlithus_littoralis	ALGO_Je5	AM490979|Jomonlithus_littoralis(ALGO_Je5)
AB183603	Hymenomonadaceae	Jomonlithus	Jomonlithus_sp	MBIC10475	AB183603|Jomonlithus_sp(MBIC10475)
JF708125	Hymenomonadaceae	Ochrosphaera	Ochrosphaera_sp	MBTD_CMFRI_S003	JF708125|Ochrosphaera_sp(MBTD_CMFRI_S003)
JQ809711	Hymenomonadaceae	Ochrosphaera	Ochrosphaera_sp	Marex_10S012	JQ809711|Ochrosphaera_sp(Marex_10S012)
AB183604	Hymenomonadaceae	Ochrosphaera	Ochrosphaera_sp	MBIC10476	AB183604|Ochrosphaera_sp(MBIC10476)
AB058347	Hymenomonadaceae	Ochrosphaera	Ochrosphaera_sp	MBIC10464	AB058347|Ochrosphaera_sp(MBIC10464)
AB183615	Hymenomonadaceae	Ochrosphaera	Ochrosphaera_sp	MBIC10548	AB183615|Ochrosphaera_sp(MBIC10548)
AB183638	Hymenomonadaceae	Ochrosphaera	Ochrosphaera_sp	MBIC10788	AB183638|Ochrosphaera_sp(MBIC10788)
AM490980	Hymenomonadaceae	Ochrosphaera	Ochrosphaera_verrucosa	ALGO_HAP82	AM490980|Ochrosphaera_verrucosa(ALGO_HAP82)
HQ877921	Isochrysidaceae	Isochrysis	Isochrysis_galbana	KMMCC_H24_(CCMP:715)	HQ877921|Isochrysis_galbana(KMMCC_H24_(CCMP:715))
KC888105	Isochrysidaceae	Isochrysis	Isochrysis_galbana	PLY507	KC888105|Isochrysis_galbana(PLY507)
AM490999	Isochrysidaceae	Isochrysis	Isochrysis_galbana	CCAP949_1	AM490999|Isochrysis_galbana(CCAP949_1)
HF678451	Isochrysidaceae	Isochrysis	Isochrysis_galbana	VLP	HF678451|Isochrysis_galbana(VLP)
KC888103	Isochrysidaceae	Isochrysis	Isochrysis_galbana	PLY8	KC888103|Isochrysis_galbana(PLY8)
KC888106	Isochrysidaceae	Isochrysis	Isochrysis_galbana	PLY565	KC888106|Isochrysis_galbana(PLY565)
KC888107	Isochrysidaceae	Isochrysis	Isochrysis_galbana	AC34	KC888107|Isochrysis_galbana(AC34)
KC888110	Isochrysidaceae	Isochrysis	Isochrysis_galbana	RCC1348	KC888110|Isochrysis_galbana(RCC1348)
KC888108	Isochrysidaceae	Isochrysis	Isochrysis_galbana	AC101	KC888108|Isochrysis_galbana(AC101)
KC888109	Isochrysidaceae	Isochrysis	Isochrysis_galbana	AC80	KC888109|Isochrysis_galbana(AC80)
KC888111	Isochrysidaceae	Isochrysis	Isochrysis_galbana	RCC1353	KC888111|Isochrysis_galbana(RCC1353)
KC888104	Isochrysidaceae	Isochrysis	Isochrysis_galbana	PLY240	KC888104|Isochrysis_galbana(PLY240)
HM149540	Isochrysidaceae	Isochrysis	Isochrysis_galbana	CCMP1323	HM149540|Isochrysis_galbana(CCMP1323)
HM149541	Isochrysidaceae	Isochrysis	Isochrysis_galbana	SAG_13_92	HM149541|Isochrysis_galbana(SAG_13_92)
KC888112	Isochrysidaceae	Isochrysis	Isochrysis_litoralis	RCC1346	KC888112|Isochrysis_litoralis(RCC1346)
KC888113	Isochrysidaceae	Isochrysis	Isochrysis_litoralis	AC18	KC888113|Isochrysis_litoralis(AC18)
AM490996	Isochrysidaceae	Isochrysis	Isochrysis_litoralis	ALGO_HAP18	AM490996|Isochrysis_litoralis(ALGO_HAP18)
KC888114	Isochrysidaceae	Isochrysis	Isochrysis_nuda	AC49	KC888114|Isochrysis_nuda(AC49)
KC888115	Isochrysidaceae	Isochrysis	Isochrysis_nuda	RCC1207	KC888115|Isochrysis_nuda(RCC1207)
KC888116	Isochrysidaceae	Isochrysis	Isochrysis_nuda	RCC2477	KC888116|Isochrysis_nuda(RCC2477)
KC888117	Isochrysidaceae	Isochrysis	Isochrysis_nuda	PLY401b	KC888117|Isochrysis_nuda(PLY401b)
AM490997	Isochrysidaceae	Isochrysis	Isochrysis_nuda	ALGO_HAP49	AM490997|Isochrysis_nuda(ALGO_HAP49)
KC888099	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	PLY408	KC888099|Ruttnera_lamellosa(PLY408)
KC888100	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	PLY475	KC888100|Ruttnera_lamellosa(PLY475)
AM490998	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	ALGO_HAP17	AM490998|Ruttnera_lamellosa(ALGO_HAP17)
KC888098	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	PLY353	KC888098|Ruttnera_lamellosa(PLY353)
KF696664	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	A13_009	KF696664|Ruttnera_lamellosa(A13_009)
KF728656	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	A12_960	KF728656|Ruttnera_lamellosa(A12_960)
KC888096	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	AC17	KC888096|Ruttnera_lamellosa(AC17)
KC888097	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	PLY352	KC888097|Ruttnera_lamellosa(PLY352)
KC888101	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	PLY509	KC888101|Ruttnera_lamellosa(PLY509)
KC888129	Isochrysidaceae	Ruttnera	Ruttnera_lamellosa	PLY489	KC888129|Ruttnera_lamellosa(PLY489)
KC888102	Isochrysidaceae	Ruttnera	Ruttnera_sp	PLY510A	KC888102|Ruttnera_sp(PLY510A)
KC888095	Isochrysidaceae	Ruttnera	Ruttnera_sp	RCC1195	KC888095|Ruttnera_sp(RCC1195)
JF708158	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	MBTD_CMFRI_S073	JF708158|Tisochrysis_lutea(MBTD_CMFRI_S073)
DQ075200	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	Tahitian_isolate'	DQ075200|Tisochrysis_lutea(Tahitian_isolate')
JF489967	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	IaffgalbanaII	JF489967|Tisochrysis_lutea(IaffgalbanaII)
HQ877911	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	KMMCC_H11_(CCMP:463)	HQ877911|Tisochrysis_lutea(KMMCC_H11_(CCMP:463))
HQ877903	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	KMMCC_H2	HQ877903|Tisochrysis_lutea(KMMCC_H2)
JN938582	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	LL_2012_IOAC724S	JN938582|Tisochrysis_lutea(LL_2012_IOAC724S)
DQ071573	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	strain_8701	DQ071573|Tisochrysis_lutea(strain_8701)
JF489948	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	MA_2012	JF489948|Tisochrysis_lutea(MA_2012)
KC888126	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	PLY506B	KC888126|Tisochrysis_lutea(PLY506B)
KC888118	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	AC102	KC888118|Tisochrysis_lutea(AC102)
KC888119	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	RCC1349	KC888119|Tisochrysis_lutea(RCC1349)
KC888127	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	PLY506C	KC888127|Tisochrysis_lutea(PLY506C)
KC888120	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	CCMP463	KC888120|Tisochrysis_lutea(CCMP463)
KC888121	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	RCC1350	KC888121|Tisochrysis_lutea(RCC1350)
KC888122	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	RCC1344	KC888122|Tisochrysis_lutea(RCC1344)
KC888123	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	AC620	KC888123|Tisochrysis_lutea(AC620)
KC888124	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	PLY562	KC888124|Tisochrysis_lutea(PLY562)
KC888125	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	PLY506A	KC888125|Tisochrysis_lutea(PLY506A)
DQ075203	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea		DQ075203|Tisochrysis_lutea()
HM246242	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	AL	HM246242|Tisochrysis_lutea(AL)
DQ079859	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	CCAP_927_14	DQ079859|Tisochrysis_lutea(CCAP_927_14)
HM149542	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	CCMP1324	HM149542|Tisochrysis_lutea(CCMP1324)
JF489946	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	IgalbanaIV	JF489946|Tisochrysis_lutea(IgalbanaIV)
HM149539	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	Tun08	HM149539|Tisochrysis_lutea(Tun08)
HM149543	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	Ifremer_Argenton98	HM149543|Tisochrysis_lutea(Ifremer_Argenton98)
JF489945	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	IgalbanaIII	JF489945|Tisochrysis_lutea(IgalbanaIII)
AJ246266	Isochrysidaceae	Tisochrysis	Tisochrysis_lutea	UIO_102	AJ246266|Tisochrysis_lutea(UIO_102)
JX868515	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	U4	JX868515|Tisochrysis_sp(U4)
FJ536744	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	strainCNT_Vietnam	FJ536744|Tisochrysis_sp(strainCNT_Vietnam)
HQ877902	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	KMMCC_H1	HQ877902|Tisochrysis_sp(KMMCC_H1)
HQ877910	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	KMMCC_H10	HQ877910|Tisochrysis_sp(KMMCC_H10)
